 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 1.00980000e-06  4.42271010e+00  4.41607729e+00  6.63281218e-06 
 1.01480000e-06  4.42918407e+00  4.42262421e+00  6.55985519e-06 
 1.01980000e-06  4.43558619e+00  4.42909850e+00  6.48768690e-06 
 1.02480000e-06  4.44191723e+00  4.43550093e+00  6.41629930e-06 
 1.02980000e-06  4.44817798e+00  4.44183229e+00  6.34568444e-06 
 1.03480000e-06  4.45436919e+00  4.44809335e+00  6.27583445e-06 
 1.03980000e-06  4.46049161e+00  4.45428487e+00  6.20674151e-06 
 1.04480000e-06  4.46654599e+00  4.46040759e+00  6.13839788e-06 
 1.04980000e-06  4.47253307e+00  4.46646228e+00  6.07079588e-06 
 1.05480000e-06  4.47845359e+00  4.47244966e+00  6.00392789e-06 
 1.05980000e-06  4.48430826e+00  4.47837047e+00  5.93778638e-06 
 1.06480000e-06  4.49009780e+00  4.48422543e+00  5.87236387e-06 
 1.06980000e-06  4.49582292e+00  4.49001526e+00  5.80765295e-06 
 1.07480000e-06  4.50148431e+00  4.49574067e+00  5.74364626e-06 
 1.07980000e-06  4.50708269e+00  4.50140235e+00  5.68033654e-06 
 1.08480000e-06  4.51261872e+00  4.50700100e+00  5.61771657e-06 
 1.08980000e-06  4.51809310e+00  4.51253732e+00  5.55577919e-06 
 1.09480000e-06  4.52350648e+00  4.51801197e+00  5.49451733e-06 
 1.09980000e-06  4.52885955e+00  4.52342563e+00  5.43392396e-06 
 1.10480000e-06  4.53415296e+00  4.52877896e+00  5.37399214e-06 
 1.10980000e-06  4.53938735e+00  4.53407264e+00  5.31471495e-06 
 1.11480000e-06  4.54456338e+00  4.53930730e+00  5.25608559e-06 
 1.11980000e-06  4.54968169e+00  4.54448359e+00  5.19809728e-06 
 1.12480000e-06  4.55474289e+00  4.54960215e+00  5.14074331e-06 
 1.12980000e-06  4.55974763e+00  4.55466362e+00  5.08401706e-06 
 1.13480000e-06  4.56469652e+00  4.55966861e+00  5.02791193e-06 
 1.13980000e-06  4.56959017e+00  4.56461775e+00  4.97242141e-06 
 1.14480000e-06  4.57442918e+00  4.56951164e+00  4.91753905e-06 
 1.14980000e-06  4.57921416e+00  4.57435090e+00  4.86325845e-06 
 1.15480000e-06  4.58394569e+00  4.57913612e+00  4.80957328e-06 
