 frequency       z_mag          
 3.63078055e+05  1.20120000e+02 
 3.67282300e+05  1.20120000e+02 
 3.71535229e+05  1.20120000e+02 
 3.75837404e+05  1.20120000e+02 
 3.80189396e+05  1.20120000e+02 
 3.84591782e+05  1.20120000e+02 
 3.89045145e+05  1.20120000e+02 
 3.93550075e+05  1.20120000e+02 
 3.98107171e+05  1.20120000e+02 
 4.02717034e+05  1.20120000e+02 
 4.07380278e+05  1.20120000e+02 
 4.12097519e+05  1.20120000e+02 
 4.16869383e+05  1.20120000e+02 
 4.21696503e+05  1.20120000e+02 
 4.26579519e+05  1.20120000e+02 
 4.31519077e+05  1.20120000e+02 
 4.36515832e+05  1.20120000e+02 
 4.41570447e+05  1.20120000e+02 
 4.46683592e+05  1.20120000e+02 
 4.51855944e+05  1.20120000e+02 
 4.57088190e+05  1.20120000e+02 
 4.62381021e+05  1.20120000e+02 
 4.67735141e+05  1.20120000e+02 
 4.73151259e+05  1.20120000e+02 
 4.78630092e+05  1.20120000e+02 
 4.84172368e+05  1.20120000e+02 
 4.89778819e+05  1.20120000e+02 
 4.95450191e+05  1.20120000e+02 
 5.01187234e+05  1.20120000e+02 
 5.06990708e+05  1.20120000e+02 
 5.12861384e+05  1.20120000e+02 
 5.18800039e+05  1.20120000e+02 
 5.24807460e+05  1.20120000e+02 
 5.30884444e+05  1.20120000e+02 
 5.37031796e+05  1.20120000e+02 
 5.43250331e+05  1.20120000e+02 
 5.49540874e+05  1.20120000e+02 
 5.55904257e+05  1.20120000e+02 
 5.62341325e+05  1.20120000e+02 
 5.68852931e+05  1.20120000e+02 
 5.75439937e+05  1.20120000e+02 
 5.82103218e+05  1.20120000e+02 
 5.88843655e+05  1.20120000e+02 
 5.95662144e+05  1.20120000e+02 
 6.02559586e+05  1.20120000e+02 
 6.09536897e+05  1.20120000e+02 
 6.16595002e+05  1.20120000e+02 
 6.23734835e+05  1.20120000e+02 
 6.30957344e+05  1.20120000e+02 
 6.38263486e+05  1.20120000e+02 
 6.45654229e+05  1.20120000e+02 
 6.53130553e+05  1.20120000e+02 
 6.60693448e+05  1.20120000e+02 
 6.68343918e+05  1.20120000e+02 
 6.76082975e+05  1.20120000e+02 
 6.83911647e+05  1.20120000e+02 
 6.91830971e+05  1.20120000e+02 
 6.99841996e+05  1.20120000e+02 
 7.07945784e+05  1.20120000e+02 
 7.16143410e+05  1.20120000e+02 
 7.24435960e+05  1.20120000e+02 
 7.32824533e+05  1.20120000e+02 
 7.41310241e+05  1.20120000e+02 
 7.49894209e+05  1.20120000e+02 
 7.58577575e+05  1.20120000e+02 
 7.67361489e+05  1.20120000e+02 
 7.76247117e+05  1.20120000e+02 
 7.85235635e+05  1.20120000e+02 
 7.94328235e+05  1.20120000e+02 
 8.03526122e+05  1.20120000e+02 
 8.12830516e+05  1.20120000e+02 
 8.22242650e+05  1.20120000e+02 
 8.31763771e+05  1.20120000e+02 
 8.41395142e+05  1.20120000e+02 
 8.51138038e+05  1.20120000e+02 
