 time            v(conn_pin)     v(gate)         v(gate_drive)  
 1.03907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.04407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.04907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.05407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.05907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.06407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.06907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.07407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.07907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.08407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.08907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.09407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.09907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.10407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.10907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.11407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.11907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.12407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.12907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.13407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.13907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.14407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.14907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.15407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.15907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.16407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.16907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.17407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.17907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.18407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.18907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.19407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.19907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.20407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.20907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
