 time            v(conn_pin)     v(gate)         v(mcu_gpio)     v_am_esd#branch
 1.73621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.74621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.75621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.76621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.77621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.78621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.79621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.80621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.81621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.82621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.83621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.84621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.85621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.86621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.87621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.88621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.89621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.90621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.91621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.92621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.93621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.94621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.95621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.96621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.97621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.98621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.99621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.00621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.01621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.02621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.03621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.04621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.05621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.06621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.07621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.08621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.09621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.10621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.11621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.12621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.13621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.14621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.15621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.16621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.17621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.18621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.19621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.20621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.21621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.22621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.23621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.24621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.25621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.26621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.27621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.28621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.29621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.30621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.31621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.32621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.33621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.34621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
